origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV162_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.0757665,0.0208443,-3419.44,-3492.98,9.20381e-06,1.58106,NA,NA,NA,NA
placements,ASV149_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_brevituba,1,142,0.266723,0.837654,-3611.87,-3639.8,0.200621,0.409765,NA,NA,NA,NA
placements,ASV145_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,40,0.0734396,0.128455,-3611.42,-3710.43,9.84924e-06,1.99999,NA,NA,NA,NA
placements,ASV157_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.314704,0.909435,-3576.05,-3615.27,0.0528677,0.624732,NA,NA,NA,NA
placements,ASV118_Turbellaria_Acoelomorpha_Simplicomorpha_Simplicomorpha_gigantorhabditis,1,134,0.1366,0.267485,-3678.81,-3744.27,0.0450076,1.38905,NA,NA,NA,NA
placements,ASV58_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.193358,0.0192067,-3494.97,-3555.71,9.20381e-06,1.14238,NA,NA,NA,NA
placements,ASV168_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,49,0.318248,0.853232,-3624.33,-3659.55,0.0442218,0.529645,NA,NA,NA,NA
placements,ASV122_Turbellaria_Seriata_Phagocata_Phagocata_vitta,1,139,0.688383,0.877344,-3438.93,-3467.41,0.102206,0.430055,NA,NA,NA,NA
placements,ASV49_Turbellaria_Rhabdocoela_Byrsophlebs_Byrsophlebs_delamarei,1,139,0.141852,0.507915,-3655.58,-3694.58,0.125258,0.657432,NA,NA,NA,NA
placements,ASV123_Turbellaria_Macrostomorpha_Austromacrostomum_Austromacrostomum_arumoidicornum,1,40,0.990295,0.992486,-3405.88,-3408.31,0.0243657,0.0217666,NA,NA,NA,NA
placements,ASV39_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_sp.,1,134,0.0875968,0.134598,-3681.87,-3757.41,0.0436125,1.82963,NA,NA,NA,NA
placements,ASV45_Turbellaria_Rhabdocoela_Balgetia_Balgetia_semicirculifera,1,48,0.0879888,0.110089,-3651.86,-3696.89,0.0182351,0.722131,NA,NA,NA,NA
placements,ASV179_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,144,0.0646712,0.123524,-3169.07,-3270.47,0.00625621,1.99999,NA,NA,NA,NA
placements,ASV107_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,49,0.383439,0.268197,-3617.73,-3651.69,0.0444379,0.50505,NA,NA,NA,NA
placements,ASV165_Turbellaria_Macrostomorpha_Microstomum_Microstomum_papillosum,1,186,0.636257,0.539376,-3391.03,-3392.92,5.0684e-06,0.0157116,NA,NA,NA,NA
placements,ASV27_Turbellaria_Rhabdocoela_Ptychopera_Ptychopera_westbladi,1,147,0.241191,0.539168,-3605.13,-3637.51,0.0112582,0.477388,NA,NA,NA,NA
placements,ASV104_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.197766,0.241216,-3650.04,-3715.65,9.20381e-06,1.3123,NA,NA,NA,NA
placements,ASV180_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.169605,0.0909381,-3129.47,-3187.65,9.20381e-06,1.14672,NA,NA,NA,NA
placements,ASV15_Turbellaria_Prolecithophora_Plagiostomum_Plagiostomum_cinctum,1,134,0.237744,0.0477545,-3546.92,-3583.64,0.0546798,0.540543,NA,NA,NA,NA
placements,ASV99_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,49,0.602489,0.977564,-3631.72,-3668.01,0.0456229,0.565297,NA,NA,NA,NA
placements,ASV144_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.117928,0.0644664,-3179.38,-3245.74,9.20381e-06,1.47556,NA,NA,NA,NA
placements,ASV137_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.32851,0.846308,-3563.05,-3599.81,0.0519246,0.569011,NA,NA,NA,NA
placements,ASV18_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,145,0.0929586,0.142186,-3486.35,-3584.64,6.28876e-06,1.99999,NA,NA,NA,NA
placements,ASV22_Turbellaria_Rhabdocoela_Adenopharynx_Adenopharynx_mitrabursalis,1,144,0.121039,0.211009,-3683.05,-3736.51,0.000896264,1.01992,NA,NA,NA,NA
placements,ASV13_Turbellaria_Macrostomorpha_Dolichomacrostomum_Dolichomacrostomum_uniporum,1,37,0.480069,0.401724,-3401.14,-3403.78,0.0146997,0.0195877,NA,NA,NA,NA
placements,ASV156_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.315554,0.909509,-3575.8,-3615,0.052851,0.623927,NA,NA,NA,NA
placements,ASV152_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.182534,0.261412,-3528.24,-3598,9.20381e-06,1.52779,NA,NA,NA,NA
placements,ASV105_Cestoda_Eucestoda_Taenia_Taenia_krepkogorski,1,76,0.102444,0.0975524,-3246.66,-3348.4,6.38981e-06,1.99999,NA,NA,NA,NA
placements,ASV103_Turbellaria_Acoelomorpha_Proaphanostoma_Proaphanostoma_tenuissima,1,49,0.113285,0.153952,-3381.91,-3455.34,0.0804064,1.68553,NA,NA,NA,NA
placements,ASV124_Turbellaria_Rhabdocoela_Phonorhynchus_Phonorhynchus_helgolandicus,1,49,0.115825,0.340972,-3574.76,-3607.16,0.0732267,0.447557,NA,NA,NA,NA
placements,ASV203_Turbellaria_Acoelomorpha_Nemertoderma_Nemertoderma_westbladi,1,142,0.857613,0.997498,-3532.47,-3567.87,0.152025,0.553145,NA,NA,NA,NA
placements,ASV172_Turbellaria_Acoelomorpha_Philactinoposthia_Philactinoposthia_sp.,1,123,0.0933116,0.124515,-3517.94,-3596.4,6.31348e-06,1.88189,NA,NA,NA,NA
placements,ASV9_Turbellaria_Rhabdocoela_Proxenetes_Proxenetes_puccinellicola,1,147,0.189359,0.118867,-3614.74,-3647.94,0.0283507,0.498426,NA,NA,NA,NA
placements,ASV20_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,49,0.537372,0.932128,-3622.19,-3656.82,0.0490443,0.528057,NA,NA,NA,NA
placements,ASV100_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.20997,0.0737457,-3337.2,-3403.03,9.20381e-06,1.32963,NA,NA,NA,NA
