origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV102_Turbellaria_Macrostomorpha_Macrostomidae_Macrostomidae_sp.,1,408,1,1,-20398.5,-20401.7,0.0458597,0.0758957,NA,NA,NA,NA
placements,ASV108_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-20796.5,-20800.1,6.50911e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV194_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,523,0.205028,0.343259,-14148.4,-14172.4,0.0224651,1.12067,NA,NA,NA,NA
placements,ASV41_Turbellaria_Acoelomorpha_Kuma_Kuma_viridis,1,408,0.454577,0.250984,-20055.5,-20084.1,0.103175,1.13555,NA,NA,NA,NA
placements,ASV10_Turbellaria_Rhabdocoela_Paracicerina_Paracicerina_laboeica,1,688,1,1,-21423.7,-21425.9,0.025871,0.0283673,NA,NA,NA,NA
placements,ASV156_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21628.8,-21631.5,6.50911e-06,0.00328159,NA,NA,NA,NA
placements,ASV37_Turbellaria_Acoelomorpha_Haploposthia_Haploposthia_rubra,1,408,0.289871,0.0310636,-20398.2,-20437,0.100128,1.6758,NA,NA,NA,NA
placements,ASV184_Turbellaria_Rhabdocoela_Placorhynchus_Placorhynchus_octaculeatus,1,418,0.984149,0.984992,-21466.7,-21468.9,0.0488997,0.030889,NA,NA,NA,NA
placements,ASV44_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_sp.,1,6,0.334014,0.374783,-21623.5,-21625.3,0.012129,0.0134199,NA,NA,NA,NA
placements,ASV63_Turbellaria_Prolecithophora_Cylindrostoma_Cylindrostoma_gracilis,1,410,0.23614,0.479912,-20892.7,-20912.2,0.0336957,0.730418,NA,NA,NA,NA
placements,ASV158_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,539,1,1,-20980,-20984.8,0.0732179,0.123273,NA,NA,NA,NA
placements,ASV20_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,16,1,1,-21433.7,-21438.3,6.14184e-06,6.11352e-06,NA,NA,NA,NA
